Nr,KeggModule,KeggModuleNR,KeggModuleName,CategoryGlobal,Category,KeggModuleOrder
19,"Nucleotide and amino acid metabolism - Branched-chain amino acid metabolism - M00019: Valine/isoleucine biosynthesis, pyruvate => valine / 2-oxobutanoate => isoleucine",M00019,"M00019: Valine/isoleucine biosynthesis, pyruvate => valine / 2-oxobutanoate => isoleucine",Nucleotide and amino acid metabolism,Branched-chain amino acid metabolism,19
20,"Nucleotide and amino acid metabolism - Serine and threonine metabolism - M00020: Serine biosynthesis, glycerate-3P => serine",M00020,"M00020: Serine biosynthesis, glycerate-3P => serine",Nucleotide and amino acid metabolism,Serine and threonine metabolism,20
21,"Nucleotide and amino acid metabolism - Cysteine and methionine metabolism - M00021: Cysteine biosynthesis, serine => cysteine",M00021,"M00021: Cysteine biosynthesis, serine => cysteine",Nucleotide and amino acid metabolism,Cysteine and methionine metabolism,21
22,"Nucleotide and amino acid metabolism - Aromatic amino acid metabolism - M00022: Shikimate pathway, phosphoenolpyruvate + erythrose-4P => chorismate",M00022,"M00022: Shikimate pathway, phosphoenolpyruvate + erythrose-4P => chorismate",Nucleotide and amino acid metabolism,Aromatic amino acid metabolism,22
23,"Nucleotide and amino acid metabolism - Aromatic amino acid metabolism - M00023: Tryptophan biosynthesis, chorismate => tryptophan",M00023,"M00023: Tryptophan biosynthesis, chorismate => tryptophan",Nucleotide and amino acid metabolism,Aromatic amino acid metabolism,23
24,"Nucleotide and amino acid metabolism - Aromatic amino acid metabolism - M00024: Phenylalanine biosynthesis, chorismate => phenylalanine",M00024,"M00024: Phenylalanine biosynthesis, chorismate => phenylalanine",Nucleotide and amino acid metabolism,Aromatic amino acid metabolism,24
25,"Nucleotide and amino acid metabolism - Aromatic amino acid metabolism - M00025: Tyrosine biosynthesis, chorismate => tyrosine",M00025,"M00025: Tyrosine biosynthesis, chorismate => tyrosine",Nucleotide and amino acid metabolism,Aromatic amino acid metabolism,25
26,"Nucleotide and amino acid metabolism - Histidine metabolism - M00026: Histidine biosynthesis, PRPP => histidine",M00026,"M00026: Histidine biosynthesis, PRPP => histidine",Nucleotide and amino acid metabolism,Histidine metabolism,26
27,Nucleotide and amino acid metabolism - Other amino acid metabolism - M00027: GABA (gamma-Aminobutyrate) shunt,M00027,M00027: GABA (gamma-Aminobutyrate) shunt,Nucleotide and amino acid metabolism,Other amino acid metabolism,27
28,"Nucleotide and amino acid metabolism - Arginine and proline metabolism - M00028: Ornithine biosynthesis, glutamate => ornithine",M00028,"M00028: Ornithine biosynthesis, glutamate => ornithine",Nucleotide and amino acid metabolism,Arginine and proline metabolism,28
29,Nucleotide and amino acid metabolism - Arginine and proline metabolism - M00029: Urea cycle,M00029,M00029: Urea cycle,Nucleotide and amino acid metabolism,Arginine and proline metabolism,29
30,"Nucleotide and amino acid metabolism - Lysine metabolism - M00030: Lysine biosynthesis, AAA pathway, 2-oxoglutarate => 2-aminoadipate => lysine",M00030,"M00030: Lysine biosynthesis, AAA pathway, 2-oxoglutarate => 2-aminoadipate => lysine",Nucleotide and amino acid metabolism,Lysine metabolism,30
31,"Nucleotide and amino acid metabolism - Lysine metabolism - M00031: Lysine biosynthesis, mediated by LysW, 2-aminoadipate => lysine",M00031,"M00031: Lysine biosynthesis, mediated by LysW, 2-aminoadipate => lysine",Nucleotide and amino acid metabolism,Lysine metabolism,31
32,"Nucleotide and amino acid metabolism - Lysine metabolism - M00032: Lysine degradation, lysine => saccharopine => acetoacetyl-CoA",M00032,"M00032: Lysine degradation, lysine => saccharopine => acetoacetyl-CoA",Nucleotide and amino acid metabolism,Lysine metabolism,32
33,"Nucleotide and amino acid metabolism - Other amino acid metabolism - M00033: Ectoine biosynthesis, aspartate => ectoine",M00033,"M00033: Ectoine biosynthesis, aspartate => ectoine",Nucleotide and amino acid metabolism,Other amino acid metabolism,33
34,Nucleotide and amino acid metabolism - Cysteine and methionine metabolism - M00034: Methionine salvage pathway,M00034,M00034: Methionine salvage pathway,Nucleotide and amino acid metabolism,Cysteine and methionine metabolism,34
35,Nucleotide and amino acid metabolism - Cysteine and methionine metabolism - M00035: Methionine degradation,M00035,M00035: Methionine degradation,Nucleotide and amino acid metabolism,Cysteine and methionine metabolism,35
36,"Nucleotide and amino acid metabolism - Branched-chain amino acid metabolism - M00036: Leucine degradation, leucine => acetoacetate + acetyl-CoA",M00036,"M00036: Leucine degradation, leucine => acetoacetate + acetyl-CoA",Nucleotide and amino acid metabolism,Branched-chain amino acid metabolism,36
37,"Nucleotide and amino acid metabolism - Aromatic amino acid metabolism - M00037: Melatonin biosynthesis, tryptophan => serotonin => melatonin",M00037,"M00037: Melatonin biosynthesis, tryptophan => serotonin => melatonin",Nucleotide and amino acid metabolism,Aromatic amino acid metabolism,37
38,"Nucleotide and amino acid metabolism - Aromatic amino acid metabolism - M00038: Tryptophan metabolism, tryptophan => kynurenine => 2-aminomuconate",M00038,"M00038: Tryptophan metabolism, tryptophan => kynurenine => 2-aminomuconate",Nucleotide and amino acid metabolism,Aromatic amino acid metabolism,38
39,"Secondary metabolism - Biosynthesis of secondary metabolites - M00039: Monolignol biosynthesis, phenylalanine/tyrosine  => monolignol",M00039,"M00039: Monolignol biosynthesis, phenylalanine/tyrosine  => monolignol",Secondary metabolism,Biosynthesis of secondary metabolites,39
40,"Nucleotide and amino acid metabolism - Aromatic amino acid metabolism - M00040: Tyrosine biosynthesis, prephanate => pretyrosine => tyrosine",M00040,"M00040: Tyrosine biosynthesis, prephanate => pretyrosine => tyrosine",Nucleotide and amino acid metabolism,Aromatic amino acid metabolism,40
41,"Nucleotide and amino acid metabolism - Aromatic amino acid metabolism - M00042: Catecholamine biosynthesis, tyrosine => dopamine => noradrenaline => adrenaline",M00042,"M00042: Catecholamine biosynthesis, tyrosine => dopamine => noradrenaline => adrenaline",Nucleotide and amino acid metabolism,Aromatic amino acid metabolism,41
42,"Nucleotide and amino acid metabolism - Aromatic amino acid metabolism - M00043: Thyroid hormone biosynthesis, tyrosine => triiodothyronine/thyroxine",M00043,"M00043: Thyroid hormone biosynthesis, tyrosine => triiodothyronine/thyroxine",Nucleotide and amino acid metabolism,Aromatic amino acid metabolism,42
43,"Nucleotide and amino acid metabolism - Aromatic amino acid metabolism - M00044: Tyrosine degradation, tyrosine => homogentisate",M00044,"M00044: Tyrosine degradation, tyrosine => homogentisate",Nucleotide and amino acid metabolism,Aromatic amino acid metabolism,43
44,"Nucleotide and amino acid metabolism - Histidine metabolism - M00045: Histidine degradation, histidine => N-formiminoglutamate => glutamate",M00045,"M00045: Histidine degradation, histidine => N-formiminoglutamate => glutamate",Nucleotide and amino acid metabolism,Histidine metabolism,44
45,"Nucleotide and amino acid metabolism - Pyrimidine metabolism - M00046: Pyrimidine degradation, uracil => beta-alanine, thymine => 3-aminoisobutanoate",M00046,"M00046: Pyrimidine degradation, uracil => beta-alanine, thymine => 3-aminoisobutanoate",Nucleotide and amino acid metabolism,Pyrimidine metabolism,45
46,Nucleotide and amino acid metabolism - Other amino acid metabolism - M00047: Creatine pathway,M00047,M00047: Creatine pathway,Nucleotide and amino acid metabolism,Other amino acid metabolism,46
47,"Nucleotide and amino acid metabolism - Purine metabolism - M00048: Inosine monophosphate biosynthesis, PRPP + glutamine => IMP",M00048,"M00048: Inosine monophosphate biosynthesis, PRPP + glutamine => IMP",Nucleotide and amino acid metabolism,Purine metabolism,47
48,"Nucleotide and amino acid metabolism - Purine metabolism - M00049: Adenine ribonucleotide biosynthesis, IMP => ADP,ATP",M00049,"M00049: Adenine ribonucleotide biosynthesis, IMP => ADP,ATP",Nucleotide and amino acid metabolism,Purine metabolism,48
49,"Nucleotide and amino acid metabolism - Purine metabolism - M00050: Guanine ribonucleotide biosynthesis IMP => GDP,GTP",M00050,"M00050: Guanine ribonucleotide biosynthesis IMP => GDP,GTP",Nucleotide and amino acid metabolism,Purine metabolism,49
50,"Nucleotide and amino acid metabolism - Pyrimidine metabolism - M00051: Uridine monophosphate biosynthesis, glutamine (+ PRPP) => UMP",M00051,"M00051: Uridine monophosphate biosynthesis, glutamine (+ PRPP) => UMP",Nucleotide and amino acid metabolism,Pyrimidine metabolism,50
51,"Nucleotide and amino acid metabolism - Pyrimidine metabolism - M00052: Pyrimidine ribonucleotide biosynthesis, UMP => UDP/UTP,CDP/CTP",M00052,"M00052: Pyrimidine ribonucleotide biosynthesis, UMP => UDP/UTP,CDP/CTP",Nucleotide and amino acid metabolism,Pyrimidine metabolism,51
52,"Nucleotide and amino acid metabolism - Pyrimidine metabolism - M00053: Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP",M00053,"M00053: Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP",Nucleotide and amino acid metabolism,Pyrimidine metabolism,52
53,Carbohydrate and lipid metabolism - Glycan metabolism - M00055: N-glycan precursor biosynthesis,M00055,M00055: N-glycan precursor biosynthesis,Carbohydrate and lipid metabolism,Glycan metabolism,53
54,"Carbohydrate and lipid metabolism - Glycan metabolism - M00056: O-glycan biosynthesis, mucin type core",M00056,"M00056: O-glycan biosynthesis, mucin type core",Carbohydrate and lipid metabolism,Glycan metabolism,54
55,"Carbohydrate and lipid metabolism - Glycosaminoglycan metabolism - M00057: Glycosaminoglycan biosynthesis, linkage tetrasaccharide",M00057,"M00057: Glycosaminoglycan biosynthesis, linkage tetrasaccharide",Carbohydrate and lipid metabolism,Glycosaminoglycan metabolism,55
56,"Carbohydrate and lipid metabolism - Glycosaminoglycan metabolism - M00058: Glycosaminoglycan biosynthesis, chondroitin sulfate backbone",M00058,"M00058: Glycosaminoglycan biosynthesis, chondroitin sulfate backbone",Carbohydrate and lipid metabolism,Glycosaminoglycan metabolism,56
57,"Carbohydrate and lipid metabolism - Glycosaminoglycan metabolism - M00059: Glycosaminoglycan biosynthesis, heparan sulfate backbone",M00059,"M00059: Glycosaminoglycan biosynthesis, heparan sulfate backbone",Carbohydrate and lipid metabolism,Glycosaminoglycan metabolism,57
58,"Carbohydrate and lipid metabolism - Lipopolysaccharide metabolism - M00060: Lipopolysaccharide biosynthesis, KDO2-lipid A",M00060,"M00060: Lipopolysaccharide biosynthesis, KDO2-lipid A",Carbohydrate and lipid metabolism,Lipopolysaccharide metabolism,58
59,"Carbohydrate and lipid metabolism - Other carbohydrate metabolism - M00061: D-Glucuronate degradation, D-glucuronate => pyruvate + D-glyceraldehyde 3P",M00061,"M00061: D-Glucuronate degradation, D-glucuronate => pyruvate + D-glyceraldehyde 3P",Carbohydrate and lipid metabolism,Other carbohydrate metabolism,59
60,Carbohydrate and lipid metabolism - Lipopolysaccharide metabolism - M00063: CMP-KDO biosynthesis,M00063,M00063: CMP-KDO biosynthesis,Carbohydrate and lipid metabolism,Lipopolysaccharide metabolism,60
61,Carbohydrate and lipid metabolism - Lipopolysaccharide metabolism - M00064: ADP-L-glycero-D-manno-heptose biosynthesis,M00064,M00064: ADP-L-glycero-D-manno-heptose biosynthesis,Carbohydrate and lipid metabolism,Lipopolysaccharide metabolism,61
62,"Carbohydrate and lipid metabolism - Glycan metabolism - M00065: GPI-anchor biosynthesis, core oligosaccharide",M00065,"M00065: GPI-anchor biosynthesis, core oligosaccharide",Carbohydrate and lipid metabolism,Glycan metabolism,62
63,Carbohydrate and lipid metabolism - Lipid metabolism - M00066: Lactosylceramide biosynthesis,M00066,M00066: Lactosylceramide biosynthesis,Carbohydrate and lipid metabolism,Lipid metabolism,63
64,"Carbohydrate and lipid metabolism - Lipid metabolism - M00067: Sulfoglycolipids biosynthesis, ceramide/1-alkyl-2-acylglycerol => sulfatide/seminolipid",M00067,"M00067: Sulfoglycolipids biosynthesis, ceramide/1-alkyl-2-acylglycerol => sulfatide/seminolipid",Carbohydrate and lipid metabolism,Lipid metabolism,64
65,"Carbohydrate and lipid metabolism - Glycan metabolism - M00068: Glycosphingolipid biosynthesis, globo-series, LacCer => Gb4Cer",M00068,"M00068: Glycosphingolipid biosynthesis, globo-series, LacCer => Gb4Cer",Carbohydrate and lipid metabolism,Glycan metabolism,65
66,"Carbohydrate and lipid metabolism - Glycan metabolism - M00069: Glycosphingolipid biosynthesis, ganglio series, LacCer => GT3",M00069,"M00069: Glycosphingolipid biosynthesis, ganglio series, LacCer => GT3",Carbohydrate and lipid metabolism,Glycan metabolism,66
67,"Carbohydrate and lipid metabolism - Glycan metabolism - M00070: Glycosphingolipid biosynthesis, lacto-series, LacCer => Lc4Cer",M00070,"M00070: Glycosphingolipid biosynthesis, lacto-series, LacCer => Lc4Cer",Carbohydrate and lipid metabolism,Glycan metabolism,67
68,"Carbohydrate and lipid metabolism - Glycan metabolism - M00071: Glycosphingolipid biosynthesis, neolacto-series, LacCer => nLc4Cer",M00071,"M00071: Glycosphingolipid biosynthesis, neolacto-series, LacCer => nLc4Cer",Carbohydrate and lipid metabolism,Glycan metabolism,68
69,Carbohydrate and lipid metabolism - Glycan metabolism - M00072: N-glycosylation by oligosaccharyltransferase,M00072,M00072: N-glycosylation by oligosaccharyltransferase,Carbohydrate and lipid metabolism,Glycan metabolism,69
70,Carbohydrate and lipid metabolism - Glycan metabolism - M00073: N-glycan precursor trimming,M00073,M00073: N-glycan precursor trimming,Carbohydrate and lipid metabolism,Glycan metabolism,70
71,"Carbohydrate and lipid metabolism - Glycan metabolism - M00074: N-glycan biosynthesis, high-mannose type",M00074,"M00074: N-glycan biosynthesis, high-mannose type",Carbohydrate and lipid metabolism,Glycan metabolism,71
72,"Carbohydrate and lipid metabolism - Glycan metabolism - M00075: N-glycan biosynthesis, complex type",M00075,"M00075: N-glycan biosynthesis, complex type",Carbohydrate and lipid metabolism,Glycan metabolism,72
73,Carbohydrate and lipid metabolism - Glycosaminoglycan metabolism - M00076: Dermatan sulfate degradation,M00076,M00076: Dermatan sulfate degradation,Carbohydrate and lipid metabolism,Glycosaminoglycan metabolism,73
74,Carbohydrate and lipid metabolism - Glycosaminoglycan metabolism - M00077: Chondroitin sulfate degradation,M00077,M00077: Chondroitin sulfate degradation,Carbohydrate and lipid metabolism,Glycosaminoglycan metabolism,74
75,Carbohydrate and lipid metabolism - Glycosaminoglycan metabolism - M00078: Heparan sulfate degradation,M00078,M00078: Heparan sulfate degradation,Carbohydrate and lipid metabolism,Glycosaminoglycan metabolism,75
76,Carbohydrate and lipid metabolism - Glycosaminoglycan metabolism - M00079: Keratan sulfate degradation,M00079,M00079: Keratan sulfate degradation,Carbohydrate and lipid metabolism,Glycosaminoglycan metabolism,76
77,"Carbohydrate and lipid metabolism - Lipopolysaccharide metabolism - M00080: Lipopolysaccharide biosynthesis, inner core => outer core => O-antigen",M00080,"M00080: Lipopolysaccharide biosynthesis, inner core => outer core => O-antigen",Carbohydrate and lipid metabolism,Lipopolysaccharide metabolism,77
78,Carbohydrate and lipid metabolism - Other carbohydrate metabolism - M00081: Pectin degradation,M00081,M00081: Pectin degradation,Carbohydrate and lipid metabolism,Other carbohydrate metabolism,78
79,"Carbohydrate and lipid metabolism - Fatty acid metabolism - M00082: Fatty acid biosynthesis, initiation",M00082,"M00082: Fatty acid biosynthesis, initiation",Carbohydrate and lipid metabolism,Fatty acid metabolism,79
80,"Carbohydrate and lipid metabolism - Fatty acid metabolism - M00083: Fatty acid biosynthesis, elongation",M00083,"M00083: Fatty acid biosynthesis, elongation",Carbohydrate and lipid metabolism,Fatty acid metabolism,80
81,"Carbohydrate and lipid metabolism - Fatty acid metabolism - M00085: Fatty acid biosynthesis, elongation, mitochondria",M00085,"M00085: Fatty acid biosynthesis, elongation, mitochondria",Carbohydrate and lipid metabolism,Fatty acid metabolism,81
82,"Carbohydrate and lipid metabolism - Fatty acid metabolism - M00086: beta-Oxidation, acyl-CoA synthesis",M00086,"M00086: beta-Oxidation, acyl-CoA synthesis",Carbohydrate and lipid metabolism,Fatty acid metabolism,82
83,Carbohydrate and lipid metabolism - Fatty acid metabolism - M00087: beta-Oxidation,M00087,M00087: beta-Oxidation,Carbohydrate and lipid metabolism,Fatty acid metabolism,83
84,"Carbohydrate and lipid metabolism - Fatty acid metabolism - M00088: Ketone body biosynthesis, acetyl-CoA => acetoacetate/3-hydroxybutyrate/acetone",M00088,"M00088: Ketone body biosynthesis, acetyl-CoA => acetoacetate/3-hydroxybutyrate/acetone",Carbohydrate and lipid metabolism,Fatty acid metabolism,84
85,Carbohydrate and lipid metabolism - Lipid metabolism - M00089: Triacylglycerol biosynthesis,M00089,M00089: Triacylglycerol biosynthesis,Carbohydrate and lipid metabolism,Lipid metabolism,85
86,"Carbohydrate and lipid metabolism - Lipid metabolism - M00090: Phosphatidylcholine (PC) biosynthesis, choline => PC",M00090,"M00090: Phosphatidylcholine (PC) biosynthesis, choline => PC",Carbohydrate and lipid metabolism,Lipid metabolism,86
87,"Carbohydrate and lipid metabolism - Lipid metabolism - M00091: Phosphatidylcholine (PC) biosynthesis, PE => PC",M00091,"M00091: Phosphatidylcholine (PC) biosynthesis, PE => PC",Carbohydrate and lipid metabolism,Lipid metabolism,87
88,"Carbohydrate and lipid metabolism - Lipid metabolism - M00092: Phosphatidylethanolamine (PE) biosynthesis, ethanolamine => PE",M00092,"M00092: Phosphatidylethanolamine (PE) biosynthesis, ethanolamine => PE",Carbohydrate and lipid metabolism,Lipid metabolism,88
89,"Carbohydrate and lipid metabolism - Lipid metabolism - M00093: Phosphatidylethanolamine (PE) biosynthesis, PA => PS => PE",M00093,"M00093: Phosphatidylethanolamine (PE) biosynthesis, PA => PS => PE",Carbohydrate and lipid metabolism,Lipid metabolism,89
90,Carbohydrate and lipid metabolism - Lipid metabolism - M00094: Ceramide biosynthesis,M00094,M00094: Ceramide biosynthesis,Carbohydrate and lipid metabolism,Lipid metabolism,90
91,"Carbohydrate and lipid metabolism - Terpenoid backbone biosynthesis - M00095: C5 isoprenoid biosynthesis, mevalonate pathway",M00095,"M00095: C5 isoprenoid biosynthesis, mevalonate pathway",Carbohydrate and lipid metabolism,Terpenoid backbone biosynthesis,91
92,"Carbohydrate and lipid metabolism - Terpenoid backbone biosynthesis - M00096: C5 isoprenoid biosynthesis, non-mevalonate pathway",M00096,"M00096: C5 isoprenoid biosynthesis, non-mevalonate pathway",Carbohydrate and lipid metabolism,Terpenoid backbone biosynthesis,92
93,"Carbohydrate and lipid metabolism - Other terpenoid biosynthesis - M00097: beta-Carotene biosynthesis, GGAP => beta-carotene",M00097,"M00097: beta-Carotene biosynthesis, GGAP => beta-carotene",Carbohydrate and lipid metabolism,Other terpenoid biosynthesis,93
94,Carbohydrate and lipid metabolism - Lipid metabolism - M00098: Acylglycerol degradation,M00098,M00098: Acylglycerol degradation,Carbohydrate and lipid metabolism,Lipid metabolism,94
95,Carbohydrate and lipid metabolism - Lipid metabolism - M00099: Sphingosine biosynthesis,M00099,M00099: Sphingosine biosynthesis,Carbohydrate and lipid metabolism,Lipid metabolism,95
96,Carbohydrate and lipid metabolism - Lipid metabolism - M00100: Sphingosine degradation,M00100,M00100: Sphingosine degradation,Carbohydrate and lipid metabolism,Lipid metabolism,96
97,"Carbohydrate and lipid metabolism - Sterol biosynthesis - M00101: Cholesterol biosynthesis, squalene 2,3-epoxide => cholesterol",M00101,"M00101: Cholesterol biosynthesis, squalene 2,3-epoxide => cholesterol",Carbohydrate and lipid metabolism,Sterol biosynthesis,97
98,Carbohydrate and lipid metabolism - Sterol biosynthesis - M00102: Ergocalciferol biosynthesis,M00102,M00102: Ergocalciferol biosynthesis,Carbohydrate and lipid metabolism,Sterol biosynthesis,98
99,Carbohydrate and lipid metabolism - Sterol biosynthesis - M00103: Cholecalciferol biosynthesis,M00103,M00103: Cholecalciferol biosynthesis,Carbohydrate and lipid metabolism,Sterol biosynthesis,99
100,"Carbohydrate and lipid metabolism - Sterol biosynthesis - M00104: Bile acid biosynthesis, cholesterol => cholate/chenodeoxycholate",M00104,"M00104: Bile acid biosynthesis, cholesterol => cholate/chenodeoxycholate",Carbohydrate and lipid metabolism,Sterol biosynthesis,100
101,"Carbohydrate and lipid metabolism - Sterol biosynthesis - M00106: Conjugated bile acid biosynthesis, cholate => taurocholate/glycocholate",M00106,"M00106: Conjugated bile acid biosynthesis, cholate => taurocholate/glycocholate",Carbohydrate and lipid metabolism,Sterol biosynthesis,101
102,"Carbohydrate and lipid metabolism - Sterol biosynthesis - M00107: Steroid hormone biosynthesis, cholesterol => prognenolone => progesterone",M00107,"M00107: Steroid hormone biosynthesis, cholesterol => prognenolone => progesterone",Carbohydrate and lipid metabolism,Sterol biosynthesis,102
103,"Carbohydrate and lipid metabolism - Sterol biosynthesis - M00108: C21-Steroid hormone biosynthesis, progesterone => corticosterone/aldosterone",M00108,"M00108: C21-Steroid hormone biosynthesis, progesterone => corticosterone/aldosterone",Carbohydrate and lipid metabolism,Sterol biosynthesis,103
104,"Carbohydrate and lipid metabolism - Sterol biosynthesis - M00109: C21-Steroid hormone biosynthesis, progesterone => cortisol/cortisone",M00109,"M00109: C21-Steroid hormone biosynthesis, progesterone => cortisol/cortisone",Carbohydrate and lipid metabolism,Sterol biosynthesis,104
105,"Carbohydrate and lipid metabolism - Sterol biosynthesis - M00110: C19/C18-Steroid hormone biosynthesis, pregnenolone => androstenedione => estrone",M00110,"M00110: C19/C18-Steroid hormone biosynthesis, pregnenolone => androstenedione => estrone",Carbohydrate and lipid metabolism,Sterol biosynthesis,105
106,Nucleotide and amino acid metabolism - Cofactor and vitamin biosynthesis - M00112: Tocopherol/tocotorienol biosynthesis,M00112,M00112: Tocopherol/tocotorienol biosynthesis,Nucleotide and amino acid metabolism,Cofactor and vitamin biosynthesis,106
107,Carbohydrate and lipid metabolism - Fatty acid metabolism - M00113: Jasmonic acid biosynthesis,M00113,M00113: Jasmonic acid biosynthesis,Carbohydrate and lipid metabolism,Fatty acid metabolism,107
108,"Nucleotide and amino acid metabolism - Cofactor and vitamin biosynthesis - M00114: Ascorbate biosynthesis, plants, glucose-6P => ascorbate",M00114,"M00114: Ascorbate biosynthesis, plants, glucose-6P => ascorbate",Nucleotide and amino acid metabolism,Cofactor and vitamin biosynthesis,108
109,"Nucleotide and amino acid metabolism - Cofactor and vitamin biosynthesis - M00115: NAD biosynthesis, aspartate => NAD",M00115,"M00115: NAD biosynthesis, aspartate => NAD",Nucleotide and amino acid metabolism,Cofactor and vitamin biosynthesis,109
110,"Nucleotide and amino acid metabolism - Cofactor and vitamin biosynthesis - M00116: Menaquinone biosynthesis, chorismate => menaquinone",M00116,"M00116: Menaquinone biosynthesis, chorismate => menaquinone",Nucleotide and amino acid metabolism,Cofactor and vitamin biosynthesis,110
111,"Nucleotide and amino acid metabolism - Cofactor and vitamin biosynthesis - M00117: Ubiquinone biosynthesis, prokaryotes, chorismate => ubiquinone",M00117,"M00117: Ubiquinone biosynthesis, prokaryotes, chorismate => ubiquinone",Nucleotide and amino acid metabolism,Cofactor and vitamin biosynthesis,111
