SRA,BioProject,Biosample,Experiment,Bases,Bytes,create_date,Strain,Genotype,Experiment.1,Condition,Post_induction,Replicates,P_aas,P_tesA,P_rpaA,P_kaiBC,P_rpaA_D53E,P_OX_plasmid,P_Subjective_dawn,P_Subjective_dusk,P_N (mg/L),P_np_kaiBC,P_p0050_kaiBC,P_rel,P_relA,P_relA_E335Q,P_Light (umol photons m-2 s-1),P_sigF,P_rpoD2,P_rpoD6,P_rpoD5,P_pAM2991-xylEAB,P_pAM2991-galP,P_pilB::Tn5,P_BG-11,P_CM,P_Biofilm,Project_tag,SRA_study_id,Ref_condition,Experiment_type,Project_replicates,Single_paired,RNASeq_samples_n,Data_loc,Data_link,Paper,Culture,Growth_Phase,Media,CO2 (%),Light (uE*m-2*sec-1),Temp (°C),Agitation (rpm),OD,pH,Notes,Time_delta,Condition_pi,Project_condition_pi,Passed_Min_Reads,Passed_Global_Corr,passed_replicate_corr,passed_timeseries_corr,Overall_pass
SRR807406,PRJNA196229,SAMN01999010,SRX259787,4.73 G,3.06 Gb,2015-11-15,Synechococcus elongatus PCC 7942 = FACHB-805,aas-,RNA-seq,SE01,240h,2.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.16,1.0,0.0,1.0,0.0,0.0,50.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,FFA,SRP020509,WT_100h,Genetic_engineering,True,S,17,Both,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRP020509&o=acc_s%3Aa, https://doi.org/10.1186/1754-6834-6-113,Batch,stationary (100 hrs),BG-11,1.0,60,30.0,150.0,0.15,,,10 days 00:00:00,SE01_240h,FFA_SE01_240h,True,True,True,False,True
SRR807407,PRJNA196229,SAMN01999011,SRX259788,6.08 G,3.88 Gb,2015-11-15,Synechococcus elongatus PCC 7942 = FACHB-805,aas-,RNA-seq,SE01,240h,3.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.16,1.0,0.0,1.0,0.0,0.0,50.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,FFA,SRP020509,WT_100h,Genetic_engineering,True,S,17,Both,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRP020509&o=acc_s%3Aa, https://doi.org/10.1186/1754-6834-6-113,Batch,stationary (100 hrs),BG-11,1.0,60,30.0,150.0,0.15,,,10 days 00:00:00,SE01_240h,FFA_SE01_240h,True,True,True,False,True
SRR807408,PRJNA196229,SAMN01999012,SRX259789,1.66 G,1.08 Gb,2015-11-15,Synechococcus elongatus PCC 7942 = FACHB-805,aas- tesA+,RNA-seq,SE02,100h,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.16,1.0,0.0,1.0,0.0,0.0,50.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,FFA,SRP020509,WT_100h,Genetic_engineering,True,S,17,Both,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRP020509&o=acc_s%3Aa, https://doi.org/10.1186/1754-6834-6-113,Batch,stationary (100 hrs),BG-11,1.0,60,30.0,150.0,0.15,,,4 days 04:00:00,SE02_100h,FFA_SE02_100h,True,True,True,False,True
SRR807409,PRJNA196229,SAMN01999013,SRX259790,1.14 G,744.97 Mb,2015-11-15,Synechococcus elongatus PCC 7942 = FACHB-805,aas- tesA+,RNA-seq,SE02,100h,2.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.16,1.0,0.0,1.0,0.0,0.0,50.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,FFA,SRP020509,WT_100h,Genetic_engineering,True,S,17,Both,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRP020509&o=acc_s%3Aa, https://doi.org/10.1186/1754-6834-6-113,Batch,stationary (100 hrs),BG-11,1.0,60,30.0,150.0,0.15,,,4 days 04:00:00,SE02_100h,FFA_SE02_100h,True,True,True,False,True
SRR807410,PRJNA196229,SAMN01999014,SRX259791,3.38 G,2.15 Gb,2015-11-15,Synechococcus elongatus PCC 7942 = FACHB-805,aas- tesA+,RNA-seq,SE02,240h,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.16,1.0,0.0,1.0,0.0,0.0,50.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,FFA,SRP020509,WT_100h,Genetic_engineering,True,S,17,Both,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRP020509&o=acc_s%3Aa, https://doi.org/10.1186/1754-6834-6-113,Batch,stationary (100 hrs),BG-11,1.0,60,30.0,150.0,0.15,,,10 days 00:00:00,SE02_240h,FFA_SE02_240h,True,True,True,False,True
SRR807411,PRJNA196229,SAMN01999015,SRX259792,1.89 G,1.17 Gb,2015-11-15,Synechococcus elongatus PCC 7942 = FACHB-805,aas- tesA+,RNA-seq,SE02,240h,2.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.16,1.0,0.0,1.0,0.0,0.0,50.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,FFA,SRP020509,WT_100h,Genetic_engineering,True,S,17,Both,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRP020509&o=acc_s%3Aa, https://doi.org/10.1186/1754-6834-6-113,Batch,stationary (100 hrs),BG-11,1.0,60,30.0,150.0,0.15,,,10 days 00:00:00,SE02_240h,FFA_SE02_240h,True,True,True,False,True
SRR807412,PRJNA196229,SAMN01999016,SRX259793,2.33 G,1.45 Gb,2015-11-15,Synechococcus elongatus PCC 7942 = FACHB-805,aas- tesA+,RNA-seq,SE02,240h,3.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.16,1.0,0.0,1.0,0.0,0.0,50.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,FFA,SRP020509,WT_100h,Genetic_engineering,True,S,17,Both,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRP020509&o=acc_s%3Aa, https://doi.org/10.1186/1754-6834-6-113,Batch,stationary (100 hrs),BG-11,1.0,60,30.0,150.0,0.15,,,10 days 00:00:00,SE02_240h,FFA_SE02_240h,True,True,True,False,True
SRR1001850,PRJNA221220,SAMN02362680,SRX359366,696.69 M,381.88 Mb,2013-09-24,Synechococcus elongatus PCC 7942 = FACHB-805,EOC113,RNA-seq,EOC113,24h,,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.16,1.0,0.0,1.0,0.0,0.0,50.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,RpaA,SRP030395,EOC113_24h,Genetic_characterization,False,S,18,Both,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRP030395&o=acc_s%3Aa,www.doi.org/10.1016/j.cell.2013.11.005,Terbidostat,TimeSeries,BG-11M,1.0,100,30.0,,0.3,8.0,,1 days 00:00:00,EOC113_24h,RpaA_EOC113_24h,True,True,False,True,True
SRR1001851,PRJNA221220,SAMN02362695,SRX359367,612.94 M,330.60 Mb,2013-09-24,Synechococcus elongatus PCC 7942 = FACHB-805,EOC113,RNA-seq,EOC113,28h,,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.16,1.0,0.0,1.0,0.0,0.0,50.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,RpaA,SRP030395,EOC113_24h,Genetic_characterization,False,S,18,Both,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRP030395&o=acc_s%3Aa,www.doi.org/10.1016/j.cell.2013.11.005,Terbidostat,TimeSeries,BG-11M,1.0,100,30.0,,0.3,8.0,,1 days 04:00:00,EOC113_28h,RpaA_EOC113_28h,True,True,False,True,True
SRR1001852,PRJNA221220,SAMN02362687,SRX359368,608.69 M,327.66 Mb,2013-09-24,Synechococcus elongatus PCC 7942 = FACHB-805,EOC113,RNA-seq,EOC113,32h,,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.16,1.0,0.0,1.0,0.0,0.0,50.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,RpaA,SRP030395,EOC113_24h,Genetic_characterization,False,S,18,Both,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRP030395&o=acc_s%3Aa,www.doi.org/10.1016/j.cell.2013.11.005,Terbidostat,TimeSeries,BG-11M,1.0,100,30.0,,0.3,8.0,,1 days 08:00:00,EOC113_32h,RpaA_EOC113_32h,True,True,False,True,True
SRR1001853,PRJNA221220,SAMN02362681,SRX359369,724.32 M,390.01 Mb,2013-09-24,Synechococcus elongatus PCC 7942 = FACHB-805,EOC113,RNA-seq,EOC113,36h,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.16,1.0,0.0,1.0,0.0,0.0,50.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,RpaA,SRP030395,EOC113_24h,Genetic_characterization,False,S,18,Both,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRP030395&o=acc_s%3Aa,www.doi.org/10.1016/j.cell.2013.11.005,Terbidostat,TimeSeries,BG-11M,1.0,100,30.0,,0.3,8.0,,1 days 12:00:00,EOC113_36h,RpaA_EOC113_36h,True,True,False,True,True
SRR1001854,PRJNA221220,SAMN02362692,SRX359370,584.26 M,313.55 Mb,2013-09-24,Synechococcus elongatus PCC 7942 = FACHB-805,EOC113,RNA-seq,EOC113,40h,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.16,1.0,0.0,1.0,0.0,0.0,50.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,RpaA,SRP030395,EOC113_24h,Genetic_characterization,False,S,18,Both,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRP030395&o=acc_s%3Aa,www.doi.org/10.1016/j.cell.2013.11.005,Terbidostat,TimeSeries,BG-11M,1.0,100,30.0,,0.3,8.0,,1 days 16:00:00,EOC113_40h,RpaA_EOC113_40h,True,True,False,True,True
SRR1001855,PRJNA221220,SAMN02362691,SRX359371,620.84 M,337.51 Mb,2013-09-24,Synechococcus elongatus PCC 7942 = FACHB-805,EOC113,RNA-seq,EOC113,44h,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.16,1.0,0.0,1.0,0.0,0.0,50.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,RpaA,SRP030395,EOC113_24h,Genetic_characterization,False,S,18,Both,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRP030395&o=acc_s%3Aa,www.doi.org/10.1016/j.cell.2013.11.005,Terbidostat,TimeSeries,BG-11M,1.0,100,30.0,,0.3,8.0,,1 days 20:00:00,EOC113_44h,RpaA_EOC113_44h,True,True,False,True,True
SRR1001856,PRJNA221220,SAMN02362683,SRX359372,488.91 M,266.03 Mb,2013-09-24,Synechococcus elongatus PCC 7942 = FACHB-805, OX-D53E,RNA-seq,OX-D53E_IPTG,0h,,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.16,1.0,0.0,1.0,0.0,0.0,50.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,RpaA,SRP030395,EOC113_24h,Genetic_characterization,False,S,18,Both,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRP030395&o=acc_s%3Aa,www.doi.org/10.1016/j.cell.2013.11.005,Terbidostat,TimeSeries,BG-11M,1.0,100,30.0,,0.3,8.0,,0 days 00:00:00,OX-D53E_IPTG_0h,RpaA_OX-D53E_IPTG_0h,True,True,False,True,True
SRR1001857,PRJNA221220,SAMN02362697,SRX359373,591.17 M,323.50 Mb,2013-09-24,Synechococcus elongatus PCC 7942 = FACHB-805, OX-D53E,RNA-seq,OX-D53E_IPTG,0.5h,,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.16,1.0,0.0,1.0,0.0,0.0,50.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,RpaA,SRP030395,EOC113_24h,Genetic_characterization,False,S,18,Both,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRP030395&o=acc_s%3Aa,www.doi.org/10.1016/j.cell.2013.11.005,Terbidostat,TimeSeries,BG-11M,1.0,100,30.0,,0.3,8.0,,0 days 00:30:00,OX-D53E_IPTG_0.5h,RpaA_OX-D53E_IPTG_0.5h,True,True,False,True,True
SRR1001858,PRJNA221220,SAMN02362688,SRX359374,645.50 M,347.80 Mb,2013-09-24,Synechococcus elongatus PCC 7942 = FACHB-805, OX-D53E,RNA-seq,OX-D53E_IPTG,2h,,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.16,1.0,0.0,1.0,0.0,0.0,50.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,RpaA,SRP030395,EOC113_24h,Genetic_characterization,False,S,18,Both,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRP030395&o=acc_s%3Aa,www.doi.org/10.1016/j.cell.2013.11.005,Terbidostat,TimeSeries,BG-11M,1.0,100,30.0,,0.3,8.0,,0 days 02:00:00,OX-D53E_IPTG_2h,RpaA_OX-D53E_IPTG_2h,True,True,False,True,True
SRR1001859,PRJNA221220,SAMN02362682,SRX359375,601.39 M,320.59 Mb,2013-09-24,Synechococcus elongatus PCC 7942 = FACHB-805, OX-D53E,RNA-seq,OX-D53E_IPTG,3h,,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.16,1.0,0.0,1.0,0.0,0.0,50.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,RpaA,SRP030395,EOC113_24h,Genetic_characterization,False,S,18,Both,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRP030395&o=acc_s%3Aa,www.doi.org/10.1016/j.cell.2013.11.005,Terbidostat,TimeSeries,BG-11M,1.0,100,30.0,,0.3,8.0,,0 days 03:00:00,OX-D53E_IPTG_3h,RpaA_OX-D53E_IPTG_3h,True,True,False,True,True
SRR1001860,PRJNA221220,SAMN02362694,SRX359376,535.79 M,291.24 Mb,2013-09-24,Synechococcus elongatus PCC 7942 = FACHB-805, OX-D53E,RNA-seq,OX-D53E_IPTG,6h,,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.16,1.0,0.0,1.0,0.0,0.0,50.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,RpaA,SRP030395,EOC113_24h,Genetic_characterization,False,S,18,Both,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRP030395&o=acc_s%3Aa,www.doi.org/10.1016/j.cell.2013.11.005,Terbidostat,TimeSeries,BG-11M,1.0,100,30.0,,0.3,8.0,,0 days 06:00:00,OX-D53E_IPTG_6h,RpaA_OX-D53E_IPTG_6h,True,True,False,True,True
SRR1001861,PRJNA221220,SAMN02362686,SRX359377,590.19 M,321.85 Mb,2013-09-24,Synechococcus elongatus PCC 7942 = FACHB-805, OX-D53E,RNA-seq,OX-D53E_IPTG,12h,,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.16,1.0,0.0,1.0,0.0,0.0,50.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,RpaA,SRP030395,EOC113_24h,Genetic_characterization,False,S,18,Both,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRP030395&o=acc_s%3Aa,www.doi.org/10.1016/j.cell.2013.11.005,Terbidostat,TimeSeries,BG-11M,1.0,100,30.0,,0.3,8.0,,0 days 12:00:00,OX-D53E_IPTG_12h,RpaA_OX-D53E_IPTG_12h,True,True,False,True,True
SRR1001862,PRJNA221220,SAMN02362685,SRX359378,526.03 M,286.98 Mb,2013-09-24,Synechococcus elongatus PCC 7942 = FACHB-805, OX-D53E,RNA-seq,OX-D53E,0h,,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.16,1.0,0.0,1.0,0.0,0.0,50.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,RpaA,SRP030395,EOC113_24h,Genetic_characterization,False,S,18,Both,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRP030395&o=acc_s%3Aa,www.doi.org/10.1016/j.cell.2013.11.005,Terbidostat,TimeSeries,BG-11M,1.0,100,30.0,,0.3,8.0,,0 days 00:00:00,OX-D53E_0h,RpaA_OX-D53E_0h,True,True,False,True,True
SRR1001863,PRJNA221220,SAMN02362693,SRX359379,486.82 M,262.33 Mb,2013-09-24,Synechococcus elongatus PCC 7942 = FACHB-805, OX-D53E,RNA-seq,OX-D53E,3h,,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.16,1.0,0.0,1.0,0.0,0.0,50.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,RpaA,SRP030395,EOC113_24h,Genetic_characterization,False,S,18,Both,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRP030395&o=acc_s%3Aa,www.doi.org/10.1016/j.cell.2013.11.005,Terbidostat,TimeSeries,BG-11M,1.0,100,30.0,,0.3,8.0,,0 days 03:00:00,OX-D53E_3h,RpaA_OX-D53E_3h,True,True,False,True,True
SRR1001864,PRJNA221220,SAMN02362689,SRX359380,530.14 M,290.29 Mb,2013-09-24,Synechococcus elongatus PCC 7942 = FACHB-805, OX-D53E,RNA-seq,OX-D53E,12h,,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.16,1.0,0.0,1.0,0.0,0.0,50.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,RpaA,SRP030395,EOC113_24h,Genetic_characterization,False,S,18,Both,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRP030395&o=acc_s%3Aa,www.doi.org/10.1016/j.cell.2013.11.005,Terbidostat,TimeSeries,BG-11M,1.0,100,30.0,,0.3,8.0,,0 days 12:00:00,OX-D53E_12h,RpaA_OX-D53E_12h,True,True,False,True,True
SRR1001865,PRJNA221220,SAMN02362684,SRX359381,507.76 M,277.27 Mb,2013-09-24,Synechococcus elongatus PCC 7942 = FACHB-805, OX-Empty,RNA-seq,OX-Empty_IPTG,0h,,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.16,1.0,0.0,1.0,0.0,0.0,50.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,RpaA,SRP030395,EOC113_24h,Genetic_characterization,False,S,18,Both,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRP030395&o=acc_s%3Aa,www.doi.org/10.1016/j.cell.2013.11.005,Terbidostat,TimeSeries,BG-11M,1.0,100,30.0,,0.3,8.0,,0 days 00:00:00,OX-Empty_IPTG_0h,RpaA_OX-Empty_IPTG_0h,True,True,False,True,True
