Entry,Protein,mapped_name,refseq_locus,genbank_locus,has_annotation_match,missing_with_match,missing_without_match,double_hit,match_hit,percent_id,coverage,drop_proteins,subset_proteins,rename_proteins
Q31MP3,Q31MP3_SYNE7,Q31MP3,SYNPCC7942_RS08395,Synpcc7942_1646,True,False,False,False,,,,False,False,False
Q31LX5,Q31LX5_SYNE7,Q31LX5,SYNPCC7942_RS09715,Synpcc7942_1914,True,False,False,False,,,,False,False,False
Q31JY4,Q31JY4_SYNE7,Q31JY4,SYNPCC7942_RS13270,Synpcc7942_2605,True,False,False,False,,,,False,False,False
P54207,CHLL_SYNE7,P54207,SYNPCC7942_RS07260,Synpcc7942_1419,True,False,False,False,,,,False,False,False
Q31RF5,ATPL_SYNE7,Q31RF5,SYNPCC7942_RS01690,Synpcc7942_0332,True,False,False,False,,,,False,False,False
P37385,ATSY_SYNE7,P37385,SYNPCC7942_RS11780,Synpcc7942_2317,True,False,False,False,,,,False,False,False
Q31MS9,Q31MS9_SYNE7,Q31MS9,SYNPCC7942_RS08215,Synpcc7942_1610,True,False,False,False,,,,False,False,False
Q31R68,BIOB_SYNE7,Q31R68,SYNPCC7942_RS02140,Synpcc7942_0419,True,False,False,False,,,,False,False,False
Q31RA5,Q31RA5_SYNE7,Q31RA5,SYNPCC7942_RS01950,Synpcc7942_0382,True,False,False,False,,,,False,False,False
Q31RU7,CBID_SYNE7,Q31RU7,SYNPCC7942_RS00965,Synpcc7942_0190,True,False,False,False,,,,False,False,False
Q03511,CCMK2_SYNE7,Q03511,SYNPCC7942_RS07270,Synpcc7942_1421,True,False,False,False,,,,False,False,False
Q31RK3,CCMK3_SYNE7,Q31RK3,SYNPCC7942_RS01445,Synpcc7942_0284,True,False,False,False,,,,False,False,False
Q31LT1,Q31LT1_SYNE7,Q31LT1,SYNPCC7942_RS09935,Synpcc7942_1958,True,False,False,False,,,,False,False,False
Q03512,CCML_SYNE7,Q03512,SYNPCC7942_RS07275,Synpcc7942_1422,True,False,False,False,,,,False,False,False
Q8GJN0,CHLB_SYNE7,Q8GJN0,SYNPCC7942_RS09325,Synpcc7942_1838,True,False,False,False,,,,False,False,False
P46204,CCMN_SYNE7,P46204,SYNPCC7942_RS07285,Synpcc7942_1424,True,False,False,False,,,,False,False,False
P54208,CHLN_SYNE7,P54208,SYNPCC7942_RS07265,Synpcc7942_1420,True,False,False,False,,,,False,False,False
Q31KT2,Q31KT2_SYNE7,Q31KT2,SYNPCC7942_RS11725,Synpcc7942_2307,True,False,False,False,,,,False,False,False
Q31PN7,Q31PN7_SYNE7,Q31PN7,SYNPCC7942_RS04895,Synpcc7942_0952,True,False,False,False,,,,False,False,False
Q31RP3,Q31RP3_SYNE7,Q31RP3,SYNPCC7942_RS01245,Synpcc7942_0244,True,False,False,False,,,,False,False,False
P22880,CH10_SYNE7,P22880,SYNPCC7942_RS11765,Synpcc7942_2314,True,False,False,False,,,,False,False,False
P22879,CH60_SYNE7,P22879,SYNPCC7942_RS11760,Synpcc7942_2313,True,False,False,False,,,,False,False,False
Q31MR8,Q31MR8_SYNE7,Q31MR8,SYNPCC7942_RS08270,Synpcc7942_1621,True,False,False,False,,,,False,False,False
Q31KU2,Q31KU2_SYNE7,Q31KU2,SYNPCC7942_RS11675,Synpcc7942_2297,True,False,False,False,,,,False,False,False
Q31QE5,Q31QE5_SYNE7,Q31QE5,SYNPCC7942_RS03550,Synpcc7942_0692,True,False,False,False,,,,False,False,False
Q31KK5,Q31KK5_SYNE7,Q31KK5,SYNPCC7942_RS12115,Synpcc7942_2384,True,False,False,False,,,,False,False,False
Q31RK7,CINAL_SYNE7,Q31RK7,SYNPCC7942_RS01425,Synpcc7942_0280,True,False,False,False,,,,False,False,False
Q31KC3,Q31KC3_SYNE7,Q31KC3,SYNPCC7942_RS12535,Synpcc7942_2466,True,False,False,False,,,,False,False,False
O34209,CLPB2_SYNE7,O34209,SYNPCC7942_RS03270,Synpcc7942_0637,True,False,False,False,,,,False,False,False
Q31M09,Q31M09_SYNE7,Q31M09,SYNPCC7942_RS09535,Synpcc7942_1880,True,False,False,False,,,,False,False,False
Q31NE8,Q31NE8_SYNE7,Q31NE8,SYNPCC7942_RS07120,Synpcc7942_1391,True,False,False,False,,,,False,False,False
Q9L4P3,CLPP3_SYNE7,Q9L4P3,SYNPCC7942_RS12880,Synpcc7942_2537,True,False,False,False,,,,False,False,False
Q9L4P4,CLPR_SYNE7,Q9L4P4,SYNPCC7942_RS12885,Synpcc7942_2538,True,False,False,False,,,,False,False,False
Q31QW0,Q31QW0_SYNE7,Q31QW0,SYNPCC7942_RS02680,Synpcc7942_0527,True,False,False,False,,,,False,False,False
Q31NH1,Q31NH1_SYNE7,Q31NH1,SYNPCC7942_RS07000,Synpcc7942_1368,True,False,False,False,,,,False,False,False
Q9F1R2,CMPR_SYNE7,Q9F1R2,SYNPCC7942_RS06700,Synpcc7942_1310,True,False,False,False,,,,False,False,False
Q55235,COAD_SYNE7,Q55235,SYNPCC7942_RS10180,Synpcc7942_2007,True,False,False,False,,,,False,False,False
Q31RL4,COAE_SYNE7,Q31RL4,SYNPCC7942_RS01390,Synpcc7942_0273,True,False,False,False,,,,False,False,False
Q31RS6,COBQ_SYNE7,Q31RS6,SYNPCC7942_RS01070,Synpcc7942_0211,True,False,False,False,,,,False,False,False
Q31QF1,COFH_SYNE7,Q31QF1,SYNPCC7942_RS03520,Synpcc7942_0686,True,False,False,False,,,,False,False,False
Q44115,CPCE_SYNE7,Q44115,SYNPCC7942_RS05405,Synpcc7942_1054,True,False,False,False,,,,False,False,False
Q44116,CPCF_SYNE7,Q44116,SYNPCC7942_RS05410,Synpcc7942_1055,True,False,False,False,,,,False,False,False
Q54709,OPCA_SYNE7,Q54709,SYNPCC7942_RS11860,Synpcc7942_2333,True,False,False,False,,,,False,False,False
Q31QD4,Q31QD4_SYNE7,Q31QD4,SYNPCC7942_RS03605,Synpcc7942_0703,True,False,False,False,,,,False,False,False
Q31PC6,Q31PC6_SYNE7,Q31PC6,SYNPCC7942_RS05455,Synpcc7942_1063,True,False,False,False,,,,False,False,False
Q31LS9,Q31LS9_SYNE7,Q31LS9,SYNPCC7942_RS09945,Synpcc7942_1960,True,False,False,False,,,,False,False,False
Q31MA5,Q31MA5_SYNE7,Q31MA5,SYNPCC7942_RS09065,Synpcc7942_1784,True,False,False,False,,,,False,False,False
Q31LC1,Q31LC1_SYNE7,Q31LC1,SYNPCC7942_RS10740,Synpcc7942_2118,True,False,False,False,,,,False,False,False
Q31KR6,Q31KR6_SYNE7,Q31KR6,SYNPCC7942_RS11810,Synpcc7942_2323,True,False,False,False,,,,False,False,False
Q31P48,Q31P48_SYNE7,Q31P48,SYNPCC7942_RS05840,Synpcc7942_1141,True,False,False,False,,,,False,False,False
Q56002,CYSE_SYNE7,Q56002,SYNPCC7942_RS12295,Synpcc7942_2420,True,False,False,False,,,,False,False,False
Q31R06,Q31R06_SYNE7,Q31R06,SYNPCC7942_RS02450,Synpcc7942_0481,True,False,False,False,,,,False,False,False
P27367,CYST_SYNE7,P27367,SYNPCC7942_RS08570,Synpcc7942_1682,True,False,False,False,,,,False,False,False
P27370,CYSW_SYNE7,P27370,SYNPCC7942_RS08585,Synpcc7942_1685,True,False,False,False,,,,False,False,False
Q31M42,DAPA_SYNE7,Q31M42,SYNPCC7942_RS09370,Synpcc7942_1847,True,False,False,False,,,,False,False,False
Q31PY6,DAPAT_SYNE7,Q31PY6,SYNPCC7942_RS04400,Synpcc7942_0853,True,False,False,False,,,,False,False,False
Q31LA3,DAPB_SYNE7,Q31LA3,SYNPCC7942_RS10835,Synpcc7942_2136,True,False,False,False,,,,False,False,False
Q31JY7,Q31JY7_SYNE7,Q31JY7,SYNPCC7942_RS13255,Synpcc7942_2602,True,False,False,False,,,,False,False,False
Q59943,F16PA_SYNE7,Q59943,SYNPCC7942_RS11870,Synpcc7942_2335,True,False,False,False,,,,False,False,False
Q31KL4,DDL_SYNE7,Q31KL4,SYNPCC7942_RS12070,Synpcc7942_2375,True,False,False,False,,,,False,False,False
Q31NH7,Q31NH7_SYNE7,Q31NH7,SYNPCC7942_RS06965,Synpcc7942_1362,True,False,False,False,,,,False,False,False
P74893,DNAG_SYNE7,P74893,SYNPCC7942_RS06610,Synpcc7942_1292,True,False,False,False,,,,False,False,False
Q31SC3,Q31SC3_SYNE7,Q31SC3,SYNPCC7942_RS00070,Synpcc7942_0014,True,False,False,False,,,,False,False,False
P50020,DNAK1_SYNE7,P50020,SYNPCC7942_RS10510,Synpcc7942_2073,True,False,False,False,,,,False,False,False
P50021,DNAK2_SYNE7,P50021,SYNPCC7942_RS12545,Synpcc7942_2468,True,False,False,False,,,,False,False,False
Q31R07,Q31R07_SYNE7,Q31R07,SYNPCC7942_RS02445,Synpcc7942_0480,True,False,False,False,,,,False,False,False
Q31S07,Q31S07_SYNE7,Q31S07,SYNPCC7942_RS00660,Synpcc7942_0130,True,False,False,False,,,,False,False,False
Q31QX1,Q31QX1_SYNE7,Q31QX1,SYNPCC7942_RS02620,Synpcc7942_0516,True,False,False,False,,,,False,False,False
P52023,DPO3B_SYNE7,P52023,SYNPCC7942_RS00005,Synpcc7942_0001,True,False,False,False,,,,False,False,False
Q55024,DPS_SYNE7,Q55024,SYNPCC7942_RS11035,Synpcc7942_2171,True,False,False,False,,,,False,False,False
Q31MW5,Q31MW5_SYNE7,Q31MW5,SYNPCC7942_RS08040,Synpcc7942_1574,True,False,False,False,,,,False,False,False
Q31RI3,Q31RI3_SYNE7,Q31RI3,SYNPCC7942_RS01550,Synpcc7942_0304,True,False,False,False,,,,False,False,False
Q31KK3,Q31KK3_SYNE7,Q31KK3,SYNPCC7942_RS12125,Synpcc7942_2386,True,False,False,False,,,,False,False,False
Q31LF7,Q31LF7_SYNE7,Q31LF7,SYNPCC7942_RS10555,Synpcc7942_2082,True,False,False,False,,,,False,False,False
Q31MW7,Q31MW7_SYNE7,Q31MW7,SYNPCC7942_RS08030,Synpcc7942_1572,True,False,False,False,,,,False,False,False
Q31NV5,Q31NV5_SYNE7,Q31NV5,SYNPCC7942_RS06325,Synpcc7942_1234,True,False,False,False,,,,False,False,False
Q31RB8,Q31RB8_SYNE7,Q31RB8,SYNPCC7942_RS01880,Synpcc7942_0369,True,False,False,False,,,,False,False,False
Q31R15,EX7S_SYNE7,Q31R15,SYNPCC7942_RS02410,Synpcc7942_0472,True,False,False,False,,,,False,False,False
Q31QK7,Q31QK7_SYNE7,Q31QK7,SYNPCC7942_RS03235,Synpcc7942_0630,True,False,False,False,,,,False,False,False
O50211,O50211_SYNE7,O50211,,,False,True,False,False,Q31L84,100.0,1.0,False,False,True
Q31PQ9,FABZ_SYNE7,Q31PQ9,SYNPCC7942_RS04785,Synpcc7942_0930,True,False,False,False,,,,False,False,False
Q31MD2,Q31MD2_SYNE7,Q31MD2,SYNPCC7942_RS08930,Synpcc7942_1757,True,False,False,False,,,,False,False,False
P0A3D2,FER1_SYNE7,P0A3D2,SYNPCC7942_RS07660,Synpcc7942_1499,True,False,False,False,,,,False,False,False
P10340,FLAV_SYNE7,P10340,SYNPCC7942_RS07865,Synpcc7942_1541,True,False,False,False,,,,False,False,False
Q31P32,Q31P32_SYNE7,Q31P32,SYNPCC7942_RS05930,Synpcc7942_1157,True,False,False,False,,,,False,False,False
Q31Q60,FOLD_SYNE7,Q31Q60,SYNPCC7942_RS04030,Synpcc7942_0777,True,False,False,False,,,,False,False,False
Q55244,FUR_SYNE7,Q55244,SYNPCC7942_RS05070,Synpcc7942_0987,True,False,False,False,,,,False,False,False
Q31LH0,Q31LH0_SYNE7,Q31LH0,SYNPCC7942_RS10490,Synpcc7942_2069,True,False,False,False,,,,False,False,False
Q31ML8,Q31ML8_SYNE7,Q31ML8,SYNPCC7942_RS08515,Synpcc7942_1671,True,False,False,False,,,,False,False,False
Q31LC2,GATA_SYNE7,Q31LC2,SYNPCC7942_RS10735,Synpcc7942_2117,True,False,False,False,,,,False,False,False
Q8KPV3,Q8KPV3_SYNE7,Q8KPV3,SYNPCC7942_RS08035,Synpcc7942_1573,True,False,False,False,,,,False,False,False
Q54769,GCH1_SYNE7,Q54769,SYNPCC7942_RS08155,Synpcc7942_1597,True,False,False,False,,,,False,False,False
Q31KV2,Q31KV2_SYNE7,Q31KV2,SYNPCC7942_RS11625,Synpcc7942_2287,True,False,False,False,,,,False,False,False
Q31KR3,Q31KR3_SYNE7,Q31KR3,SYNPCC7942_RS11825,Synpcc7942_2326,True,False,False,False,,,,False,False,False
Q935Y7,GLGA_SYNE7,Q935Y7,SYNPCC7942_RS12785,Synpcc7942_2518,True,False,False,False,,,,False,False,False
Q8GIT1,Q8GIT1_SYNE7,Q8GIT1,SYNPCC7942_RS14105,Synpcc7942_2485,True,False,False,False,,,,False,False,False
Q31QN4,GLGC_SYNE7,Q31QN4,SYNPCC7942_RS03095,Synpcc7942_0603,True,False,False,False,,,,False,False,False
Q31LA7,GLMM_SYNE7,Q31LA7,SYNPCC7942_RS10815,Synpcc7942_2132,True,False,False,False,,,,False,False,False
Q31RJ9,GLMU_SYNE7,Q31RJ9,SYNPCC7942_RS01465,Synpcc7942_0288,True,False,False,False,,,,False,False,False
P0A3F4,GLNB_SYNE7,P0A3F4,SYNPCC7942_RS01635,Synpcc7942_0321,True,False,False,False,,,,False,False,False
Q31ND6,GLO2_SYNE7,Q31ND6,SYNPCC7942_RS07180,Synpcc7942_1403,True,False,False,False,,,,False,False,False
Q31S06,Q31S06_SYNE7,Q31S06,SYNPCC7942_RS00665,Synpcc7942_0131,True,False,False,False,,,,False,False,False
Q935Z2,GPDA_SYNE7,Q935Z2,SYNPCC7942_RS12805,Synpcc7942_2522,True,False,False,False,,,,False,False,False
P95837,MURB_SYNE7,P95837,SYNPCC7942_RS08855,Synpcc7942_1740,True,False,False,False,,,,False,False,False
Q8GIT0,Q8GIT0_SYNE7,Q8GIT0,SYNPCC7942_RS12615,Synpcc7942_2484,True,False,False,False,,,,False,False,False
Q59984,GRPE_SYNE7,Q59984,SYNPCC7942_RS10505,Synpcc7942_2072,True,False,False,False,,,,False,False,False
Q31KK1,Q31KK1_SYNE7,Q31KK1,SYNPCC7942_RS12135,Synpcc7942_2388,True,False,False,False,,,,False,False,False
Q31NS9,Q31NS9_SYNE7,Q31NS9,SYNPCC7942_RS06455,Synpcc7942_1260,True,False,False,False,,,,False,False,False
Q31LZ4,Q31LZ4_SYNE7,Q31LZ4,SYNPCC7942_RS09610,Synpcc7942_1895,True,False,False,False,,,,False,False,False
Q31R65,Q31R65_SYNE7,Q31R65,SYNPCC7942_RS02155,Synpcc7942_0422,True,False,False,False,,,,False,False,False
Q31PM2,HEM3_SYNE7,Q31PM2,SYNPCC7942_RS04970,Synpcc7942_0967,True,False,False,False,,,,False,False,False
P42452,HEM4_SYNE7,P42452,SYNPCC7942_RS01385,Synpcc7942_0272,True,False,False,False,,,,False,False,False
Q31S00,HEMH_SYNE7,Q31S00,SYNPCC7942_RS00695,Synpcc7942_0137,True,False,False,False,,,,False,False,False
Q31MA7,Q31MA7_SYNE7,Q31MA7,SYNPCC7942_RS09055,Synpcc7942_1782,True,False,False,False,,,,False,False,False
P29686,G6PD_SYNE7,P29686,SYNPCC7942_RS11865,Synpcc7942_2334,True,False,False,False,,,,False,False,False
Q31NE2,Q31NE2_SYNE7,Q31NE2,SYNPCC7942_RS07150,Synpcc7942_1397,True,False,False,False,,,,False,False,False
Q31QQ6,Q31QQ6_SYNE7,Q31QQ6,SYNPCC7942_RS02955,Synpcc7942_0581,True,False,False,False,,,,False,False,False
Q31KT3,Q31KT3_SYNE7,Q31KT3,SYNPCC7942_RS11720,Synpcc7942_2306,True,False,False,False,,,,False,False,False
Q55267,HISZ_SYNE7,Q55267,SYNPCC7942_RS04205,Synpcc7942_0813,True,False,False,False,,,,False,False,False
Q31P41,Q31P41_SYNE7,Q31P41,SYNPCC7942_RS05880,Synpcc7942_1148,True,False,False,False,,,,False,False,False
Q31RG9,Q31RG9_SYNE7,Q31RG9,SYNPCC7942_RS01620,Synpcc7942_0318,True,False,False,False,,,,False,False,False
Q31LM7,Q31LM7_SYNE7,Q31LM7,SYNPCC7942_RS10205,Synpcc7942_2012,True,False,False,False,,,,False,False,False
Q31LR3,NU4C2_SYNE7,Q31LR3,SYNPCC7942_RS10020,Synpcc7942_1976,True,False,False,False,,,,False,False,False
Q31RA4,Q31RA4_SYNE7,Q31RA4,SYNPCC7942_RS01955,Synpcc7942_0383,True,False,False,False,,,,False,False,False
P15347,ISIA_SYNE7,P15347,SYNPCC7942_RS07870,Synpcc7942_1542,True,False,False,False,,,,False,False,False
Q31R70,Q31R70_SYNE7,Q31R70,SYNPCC7942_RS02130,Synpcc7942_0417,True,False,False,False,,,,False,False,False
Q31RH7,ISPE_SYNE7,Q31RH7,SYNPCC7942_RS01580,Synpcc7942_0310,True,False,False,False,,,,False,False,False
Q31P19,ISPF_SYNE7,Q31P19,SYNPCC7942_RS06000,Synpcc7942_1170,True,False,False,False,,,,False,False,False
Q31QC4,ISPG_SYNE7,Q31QC4,SYNPCC7942_RS03655,Synpcc7942_0713,True,False,False,False,,,,False,False,False
Q31MM0,Q31MM0_SYNE7,Q31MM0,SYNPCC7942_RS08510,Synpcc7942_1669,True,False,False,False,,,,False,False,False
Q31RJ6,Q31RJ6_SYNE7,Q31RJ6,SYNPCC7942_RS01485,Synpcc7942_0291,True,False,False,False,,,,False,False,False
Q79PF6,KAIA_SYNE7,Q79PF6,SYNPCC7942_RS06240,Synpcc7942_1218,True,False,False,False,,,,False,False,False
Q31MC0,Q31MC0_SYNE7,Q31MC0,SYNPCC7942_RS08990,Synpcc7942_1769,True,False,False,False,,,,False,False,False
Q79PF4,KAIC_SYNE7,Q79PF4,SYNPCC7942_RS06230,Synpcc7942_1216,True,False,False,False,,,,False,False,False
Q31L87,Q31L87_SYNE7,Q31L87,SYNPCC7942_RS10935,Synpcc7942_2152,True,False,False,False,,,,False,False,False
Q31KV0,KDSA_SYNE7,Q31KV0,SYNPCC7942_RS11635,Synpcc7942_2289,True,False,False,False,,,,False,False,False
Q31KU9,KDSB_SYNE7,Q31KU9,SYNPCC7942_RS11640,Synpcc7942_2290,True,False,False,False,,,,False,False,False
Q8KPQ7,KGUA_SYNE7,Q8KPQ7,SYNPCC7942_RS06100,Synpcc7942_1191,True,False,False,False,,,,False,False,False
Q31N99,KHSE_SYNE7,Q31N99,SYNPCC7942_RS07365,Synpcc7942_1440,True,False,False,False,,,,False,False,False
Q31LL3,Q31LL3_SYNE7,Q31LL3,SYNPCC7942_RS10280,Synpcc7942_2026,True,False,False,False,,,,False,False,False
Q55276,LCYB_SYNE7,Q55276,SYNPCC7942_RS10460,Synpcc7942_2062,True,False,False,False,,,,False,False,False
Q31S42,Q31S42_SYNE7,Q31S42,SYNPCC7942_RS00480,Synpcc7942_0095,True,False,False,False,,,,False,False,False
Q31N34,LEU3_SYNE7,Q31N34,SYNPCC7942_RS07690,Synpcc7942_1505,True,False,False,False,,,,False,False,False
Q31RT8,Q31RT8_SYNE7,Q31RT8,SYNPCC7942_RS01010,Synpcc7942_0199,True,False,False,False,,,,False,False,False
Q31NV9,LGT_SYNE7,Q31NV9,SYNPCC7942_RS06305,Synpcc7942_1230,True,False,False,False,,,,False,False,False
Q31N90,LPXD_SYNE7,Q31N90,SYNPCC7942_RS07415,Synpcc7942_1449,True,False,False,False,,,,False,False,False
P52691,LRRA_SYNE7,P52691,SYNPCC7942_RS12285,Synpcc7942_2418,True,False,False,False,,,,False,False,False
Q935Y2,RIMO_SYNE7,Q935Y2,SYNPCC7942_RS12745,Synpcc7942_2512,True,False,False,False,,,,False,False,False
Q31P90,MENG_SYNE7,Q31P90,SYNPCC7942_RS05635,Synpcc7942_1099,True,False,False,False,,,,False,False,False
Q31P33,Q31P33_SYNE7,Q31P33,SYNPCC7942_RS05925,Synpcc7942_1156,True,False,False,False,,,,False,False,False
Q31KC6,METK_SYNE7,Q31KC6,SYNPCC7942_RS12520,Synpcc7942_2463,True,False,False,False,,,,False,False,False
Q8GIT6,MIAA_SYNE7,Q8GIT6,SYNPCC7942_RS12635,Synpcc7942_2490,True,False,False,False,,,,False,False,False
Q31LD6,Q31LD6_SYNE7,Q31LD6,SYNPCC7942_RS10660,Synpcc7942_2103,True,False,False,False,,,,False,False,False
Q31PU2,MINE_SYNE7,Q31PU2,SYNPCC7942_RS04620,Synpcc7942_0897,True,False,False,False,,,,False,False,False
Q31NW2,Q31NW2_SYNE7,Q31NW2,SYNPCC7942_RS06290,Synpcc7942_1227,True,False,False,False,,,,False,False,False
Q8KPU2,MNME_SYNE7,Q8KPU2,SYNPCC7942_RS08080,Synpcc7942_1582,True,False,False,False,,,,False,False,False
Q31QE9,Q31QE9_SYNE7,Q31QE9,SYNPCC7942_RS03530,Synpcc7942_0688,True,False,False,False,,,,False,False,False
Q56208,MOACB_SYNE7,Q56208,SYNPCC7942_RS06580,Synpcc7942_1285,True,False,False,False,,,,False,False,False
Q56209,MOAD_SYNE7,Q56209,SYNPCC7942_RS06575,Synpcc7942_1284,True,False,False,False,,,,False,False,False
Q56210,MOAE_SYNE7,Q56210,SYNPCC7942_RS06570,Synpcc7942_1283,True,False,False,False,,,,False,False,False
O06866,MOBA_SYNE7,O06866,SYNPCC7942_RS06090,Synpcc7942_1189,True,False,False,False,,,,False,False,False
Q56207,MOEA_SYNE7,Q56207,SYNPCC7942_RS06585,Synpcc7942_1286,True,False,False,False,,,,False,False,False
Q31RY5,MRAY_SYNE7,Q31RY5,SYNPCC7942_RS00770,Synpcc7942_0152,True,False,False,False,,,,False,False,False
Q31NZ6,Q31NZ6_SYNE7,Q31NZ6,SYNPCC7942_RS06110,Synpcc7942_1193,True,False,False,False,,,,False,False,False
P30331,MT_SYNE7,P30331,SYNPCC7942_RS13750,Synpcc7942_1290,True,False,False,False,,,,False,False,False
Q31QE2,NRDR_SYNE7,Q31QE2,SYNPCC7942_RS03565,Synpcc7942_0695,True,False,False,False,,,,False,False,False
Q31P82,Q31P82_SYNE7,Q31P82,SYNPCC7942_RS05675,Synpcc7942_1107,True,False,False,False,,,,False,False,False
Q31QM9,MTND_SYNE7,Q31QM9,SYNPCC7942_RS03120,Synpcc7942_0608,True,False,False,False,,,,False,False,False
Q31RE5,Q31RE5_SYNE7,Q31RE5,SYNPCC7942_RS01745,Synpcc7942_0342,True,False,False,False,,,,False,False,False
P95836,MURC_SYNE7,P95836,SYNPCC7942_RS08860,Synpcc7942_1741,True,False,False,False,,,,False,False,False
Q31RT6,Q31RT6_SYNE7,Q31RT6,SYNPCC7942_RS01020,Synpcc7942_0201,True,False,False,False,,,,False,False,False
Q31N55,MURE_SYNE7,Q31N55,SYNPCC7942_RS07585,Synpcc7942_1484,True,False,False,False,,,,False,False,False
Q31R69,Q31R69_SYNE7,Q31R69,SYNPCC7942_RS02135,Synpcc7942_0418,True,False,False,False,,,,False,False,False
O33701,MURQ_SYNE7,O33701,SYNPCC7942_RS13120,Synpcc7942_2577,True,False,False,False,,,,False,False,False
Q31QP2,Q31QP2_SYNE7,Q31QP2,SYNPCC7942_RS03050,Synpcc7942_0595,True,False,False,False,,,,False,False,False
Q9L790,NADA_SYNE7,Q9L790,SYNPCC7942_RS07410,Synpcc7942_1448,True,False,False,False,,,,False,False,False
Q31KC5,NANE_SYNE7,Q31KC5,SYNPCC7942_RS12525,Synpcc7942_2464,True,False,False,False,,,,False,False,False
Q31QD2,Q31QD2_SYNE7,Q31QD2,SYNPCC7942_RS03615,Synpcc7942_0705,True,False,False,False,,,,False,False,False
Q31K89,Q31K89_SYNE7,Q31K89,SYNPCC7942_RS12685,Synpcc7942_2500,True,False,False,False,,,,False,False,False
Q31NJ5,NDHI_SYNE7,Q31NJ5,SYNPCC7942_RS06870,Synpcc7942_1344,True,False,False,False,,,,False,False,False
Q31P07,NDHJ_SYNE7,Q31P07,SYNPCC7942_RS06055,Synpcc7942_1182,True,False,False,False,,,,False,False,False
Q31KK4,Q31KK4_SYNE7,Q31KK4,SYNPCC7942_RS12120,Synpcc7942_2385,True,False,False,False,,,,False,False,False
Q31LQ7,NDHM_SYNE7,Q31LQ7,SYNPCC7942_RS10050,Synpcc7942_1982,True,False,False,False,,,,False,False,False
Q31QL4,Q31QL4_SYNE7,Q31QL4,SYNPCC7942_RS03195,Synpcc7942_0623,True,False,False,False,,,,False,False,False
